"pollen_names","otl_names","pollen_otl_names"
"Abies","Abies","Abies"
"Allium","Allium","Allium"
"Alnus","Alnus","Alnus"
"Ambrosia.type","Ambrosia","Ambrosia"
"Prunus","Amygdaleae","Amygdaleae"
"Arctostaphylos","Arctostaphylos","Arctostaphylos"
"Artemisia","Artemisia","Artemisia"
"Betula","Betula","Betula"
"Bidens","Bidens","Bidens"
"Castanea","Castanea","Castanea"
"Celtis","Celtis_occidentalis","Celtis_occidentalis"
"Cephalanthus","Cephalanthus","Cephalanthus"
"Chamaedaphne.calyculata","Chamaedaphne_calyculata","Chamaedaphne_calyculata"
"Clethra","Clethra","Clethra"
"Geum","Colurieae","Colurieae"
"Comandra","Comandra","Comandra"
"Cornus","Cornus","Cornus"
"Corylus","Corylus","Corylus"
"Cyrilla.racemiflora","Cyrilla_racemiflora","Cyrilla_racemiflora"
"Diapensia","Diapensia","Diapensia"
"Diervilla","Diervilla","Diervilla"
"Dryas","Dryas","Dryas"
"Polygonella","Duma","Duma"
"Empetrum","Empetrum","Empetrum"
"Engelhardtia","Engelhardia","Engelhardia"
"Ephedra","Ephedra","Ephedra"
"Epilobium","Epilobieae","Epilobieae"
"Eriogonum","Eriogonum","Eriogonum"
"Fagopyrum","Fagopyrum","Fagopyrum"
"Fagus","Fagus","Fagus"
"Fraxinus","Fraxinus","Fraxinus"
"Geranium","Geranium","Geranium"
"Gordonia","Gordonia","Gordonia"
"Hypericum","Hypericeae","Hypericeae"
"Ilex","Ilex","Ilex"
"Iris","Iris","Iris"
"Iva","Iva","Iva"
"Juglans","Juglans","Juglans"
"Juniperus.Thuja","Juniperus","Juniperus"
"Koenigia","Koenigia","Koenigia"
"Larix","Larix","Larix"
"Linnaea.borealis","Linnaea_borealis","Linnaea_borealis"
"Liriodendron","Liriodendron","Liriodendron"
"Lonicera","Lonicera","Lonicera"
"Lycopus","Lycopus","Lycopus"
"Lythrum","Lythrum","Lythrum"
"Magnolia","Magnolia","Magnolia"
"Melilotus","Melilotus","Melilotus"
"Parthenocissus","Parthenocissus_himalayana","Parthenocissus_himalayana"
"Sanguisorba","mrcaott1448ott109151","Sanguisorba"
"Ostrya.Carpinus","mrcaott145043ott389021","Ostrya"
"Ranunculus","mrcaott15425ott71985","Ranunculus"
"Dalea","mrcaott189642ott240355","Dalea"
"Amorpha","mrcaott189645ott189650","Amorpha"
"Carya","mrcaott199032ott199045","Carya"
"Anemone","mrcaott21305ott34530","Anemone"
"Mentha","mrcaott23346ott60108","Mentha"
"Acer","mrcaott23895ott49697","Acer"
"Itea","mrcaott266718ott300090","Itea"
"Galium","mrcaott26846ott302898","Galium"
"Amelanchier","mrcaott45825ott45829","Amelanchier"
"Liquidambar","mrcaott51524ott62530","Liquidambar"
"Trema","mrcaott84002ott787503","Trema"
"Bursera","mrcaott96ott98","Bursera"
"Nemopanthus","Nemopanthus","Nemopanthus"
"Nyssa","Nyssa","Nyssa"
"Opuntia","Opuntia","Opuntia"
"Osmanthus","Osmanthus","Osmanthus"
"Picea","Picea","Picea"
"Pinus","Pinus","Pinus"
"Planera.aquatica","Planera_aquatica","Planera_aquatica"
"Platanus","Platanus","Platanus"
"Polygonum","Polygonum","Polygonum"
"Populus","Populus","Populus"
"Potentilla","Potentilleae","Potentilleae"
"Pterocarya","Pterocarya","Pterocarya"
"Quercus","Quercus","Quercus"
"Rhizophora","Rhizophora","Rhizophora"
"Rhododendron","Rhodoreae","Rhodoreae"
"Ribes","Ribes","Ribes"
"Rumex.Oxyria","Rumex","Rumex"
"Salix","Salix","Salix"
"Salsola","Salsola","Salsola"
"Sambucus","Sambucus","Sambucus"
"Sarcobatus","Sarcobatus","Sarcobatus"
"Shepherdia","Shepherdia","Shepherdia"
"Sisyrinchium","Sisyrinchium","Sisyrinchium"
"Sphaeralcea","Sphaeralcea","Sphaeralcea"
"Spiraea","Spiraea","Spiraea"
"Stachys","Stachydeae","Stachydeae"
"Stellaria","Stellaria","Stellaria"
"Symphoricarpos","Symphoricarpos","Symphoricarpos"
"Symplocos","Symplocos","Symplocos"
"Taxodium","Taxodium","Taxodium"
"Taxus","Taxus","Taxus"
"Thalictrum","Thalictrum","Thalictrum"
"Tilia","Tilioideae","Tilioideae"
"Trifolium","Trifolium","Trifolium"
"Tsuga","Tsuga","Tsuga"
"Ulmus","Ulmus","Ulmus"
"Vaccinium","Vaccinium","Vaccinium"
"Viburnum","Viburnum","Viburnum"
"Vitis","Vitis_aestivalis","Vitis_aestivalis"
"Waltheria","Waltheria","Waltheria"
"Xanthium","Xanthium","Xanthium"
"Xyris","Xyris","Xyris"
